date,campaign,channel,format,impressions,clicks,ctr_%,conversions,conv_rate_%,spend_eur,revenue_eur,roas,cpc_eur,client
2026-04-26,Lead Gen Consulta - Meta,Facebook,Lead Form,4016,77,1.92,4,6.49,69.3,384.41,5.55,0.9,Sorace Mendoza
2026-04-26,Remarketing Visitas Web,Instagram,Carousel,7170,192,2.69,12,6.46,481.92,570.29,1.18,2.51,Sorace Mendoza
2026-04-27,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,3809,64,1.68,2,4.05,49.92,208.48,4.18,0.78,Sorace Mendoza
2026-04-27,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,5365,271,5.06,5,2.12,750.67,224.41,0.3,2.77,Sorace Mendoza
2026-04-27,Carrusel Testimonios - Instagram,Instagram,Carousel,8885,185,2.09,13,7.52,549.45,906.9,1.65,2.97,Sorace Mendoza
2026-04-27,Lead Gen Consulta - Meta,Facebook,Lead Form,10893,124,1.14,8,7.01,295.12,205.83,0.7,2.38,Sorace Mendoza
2026-04-27,Remarketing Visitas Web,Instagram,Carousel,10445,467,4.48,14,3.2,1475.72,1067.23,0.72,3.16,Sorace Mendoza
2026-04-28,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,1996,97,4.89,6,6.28,116.4,98.42,0.85,1.2,Sorace Mendoza
2026-04-28,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,7365,82,1.12,4,5.69,72.98,138.77,1.9,0.89,Sorace Mendoza
2026-04-28,Carrusel Testimonios - Instagram,Instagram,Carousel,3326,92,2.79,6,6.89,194.12,109.89,0.57,2.11,Sorace Mendoza
2026-04-28,Lead Gen Consulta - Meta,Facebook,Lead Form,3534,98,2.79,3,3.21,33.32,227.94,6.84,0.34,Sorace Mendoza
2026-04-28,Remarketing Visitas Web,Instagram,Carousel,7095,374,5.27,12,3.37,1297.78,497.58,0.38,3.47,Sorace Mendoza
2026-04-29,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,6463,279,4.33,18,6.46,602.64,1663.87,2.76,2.16,Sorace Mendoza
2026-04-29,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,4668,163,3.51,4,2.92,259.17,423.13,1.63,1.59,Sorace Mendoza
2026-04-29,Carrusel Testimonios - Instagram,Instagram,Carousel,5159,197,3.83,8,4.22,305.35,776.06,2.54,1.55,Sorace Mendoza
2026-04-29,Lead Gen Consulta - Meta,Facebook,Lead Form,7904,306,3.88,19,6.24,737.46,289.78,0.39,2.41,Sorace Mendoza
2026-04-29,Remarketing Visitas Web,Instagram,Carousel,9629,209,2.18,11,5.53,706.42,1121.39,1.59,3.38,Sorace Mendoza
2026-04-30,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,2268,70,3.11,1,2.82,43.4,39.9,0.92,0.62,Sorace Mendoza
2026-04-30,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,849,37,4.46,2,6.43,28.86,104.77,3.63,0.78,Sorace Mendoza
2026-04-30,Carrusel Testimonios - Instagram,Instagram,Carousel,11682,194,1.67,15,7.97,265.78,1765.75,6.64,1.37,Sorace Mendoza
2026-04-30,Lead Gen Consulta - Meta,Facebook,Lead Form,8526,251,2.95,14,5.95,261.04,1108.8,4.25,1.04,Sorace Mendoza
2026-04-30,Remarketing Visitas Web,Instagram,Carousel,11502,516,4.49,33,6.5,1109.4,2517.12,2.27,2.15,Sorace Mendoza
2026-05-01,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,6539,183,2.8,13,7.39,95.16,223.28,2.35,0.52,Sorace Mendoza
2026-05-01,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,5678,128,2.26,6,5.44,39.68,676.74,17.05,0.31,Sorace Mendoza
2026-05-01,Carrusel Testimonios - Instagram,Instagram,Carousel,10407,550,5.29,40,7.37,1155.0,3146.13,2.72,2.1,Sorace Mendoza
2026-05-01,Lead Gen Consulta - Meta,Facebook,Lead Form,6768,207,3.07,5,2.55,492.66,544.68,1.11,2.38,Sorace Mendoza
2026-05-01,Remarketing Visitas Web,Instagram,Carousel,2380,35,1.49,1,4.25,10.85,66.6,6.14,0.31,Sorace Mendoza
2026-05-02,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,9846,144,1.47,7,5.4,407.52,394.51,0.97,2.83,Sorace Mendoza
2026-05-02,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,1316,57,4.4,4,7.41,141.93,386.48,2.72,2.49,Sorace Mendoza
2026-05-02,Carrusel Testimonios - Instagram,Instagram,Carousel,4347,93,2.15,1,1.98,231.57,66.03,0.29,2.49,Sorace Mendoza
2026-05-02,Lead Gen Consulta - Meta,Facebook,Lead Form,7043,303,4.31,9,3.06,333.3,1065.53,3.2,1.1,Sorace Mendoza
2026-05-02,Remarketing Visitas Web,Instagram,Carousel,3804,98,2.6,7,7.18,113.68,375.85,3.31,1.16,Sorace Mendoza
2026-05-03,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,9873,339,3.43,23,6.96,322.05,1655.5,5.14,0.95,Sorace Mendoza
2026-05-03,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,8420,147,1.75,5,3.66,149.94,235.39,1.57,1.02,Sorace Mendoza
2026-05-03,Carrusel Testimonios - Instagram,Instagram,Carousel,9693,340,3.51,3,1.17,833.0,357.72,0.43,2.45,Sorace Mendoza
2026-05-03,Lead Gen Consulta - Meta,Facebook,Lead Form,1820,22,1.24,1,7.1,21.34,84.72,3.97,0.97,Sorace Mendoza
2026-05-03,Remarketing Visitas Web,Instagram,Carousel,5940,69,1.16,3,5.7,197.34,65.19,0.33,2.86,Sorace Mendoza
2026-05-04,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,1088,32,3.0,0,2.15,107.84,0.0,0.0,3.37,Sorace Mendoza
2026-05-04,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,8416,126,1.51,8,6.77,143.64,943.04,6.57,1.14,Sorace Mendoza
2026-05-04,Carrusel Testimonios - Instagram,Instagram,Carousel,6588,327,4.97,10,3.22,1072.56,701.15,0.65,3.28,Sorace Mendoza
2026-05-04,Lead Gen Consulta - Meta,Facebook,Lead Form,9405,263,2.8,18,6.92,909.98,633.91,0.7,3.46,Sorace Mendoza
2026-05-04,Remarketing Visitas Web,Instagram,Carousel,9751,392,4.02,12,3.13,321.44,227.49,0.71,0.82,Sorace Mendoza
2026-05-05,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,2239,115,5.18,5,5.03,156.4,308.23,1.97,1.36,Sorace Mendoza
2026-05-05,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,8574,346,4.04,6,1.77,581.28,106.69,0.18,1.68,Sorace Mendoza
2026-05-05,Carrusel Testimonios - Instagram,Instagram,Carousel,9944,441,4.44,28,6.51,754.11,2181.87,2.89,1.71,Sorace Mendoza
2026-05-05,Lead Gen Consulta - Meta,Facebook,Lead Form,8181,384,4.69,5,1.3,975.36,421.92,0.43,2.54,Sorace Mendoza
2026-05-05,Remarketing Visitas Web,Instagram,Carousel,5318,173,3.26,4,2.54,365.03,451.16,1.24,2.11,Sorace Mendoza
2026-05-06,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,2666,136,5.12,6,4.91,422.96,524.78,1.24,3.11,Sorace Mendoza
2026-05-06,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,2507,25,1.0,1,6.5,22.5,112.22,4.99,0.9,Sorace Mendoza
2026-05-06,Carrusel Testimonios - Instagram,Instagram,Carousel,4267,112,2.63,4,3.99,148.96,108.12,0.73,1.33,Sorace Mendoza
2026-05-06,Lead Gen Consulta - Meta,Facebook,Lead Form,3875,73,1.88,4,6.78,200.02,241.44,1.21,2.74,Sorace Mendoza
2026-05-06,Remarketing Visitas Web,Instagram,Carousel,4671,229,4.92,7,3.07,320.6,791.92,2.47,1.4,Sorace Mendoza
2026-05-07,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,9514,380,4.0,6,1.83,1250.2,181.96,0.15,3.29,Sorace Mendoza
2026-05-07,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,6047,108,1.79,2,2.64,195.48,122.66,0.63,1.81,Sorace Mendoza
2026-05-07,Carrusel Testimonios - Instagram,Instagram,Carousel,11741,336,2.86,25,7.56,624.96,1947.46,3.12,1.86,Sorace Mendoza
2026-05-07,Lead Gen Consulta - Meta,Facebook,Lead Form,8360,145,1.74,3,2.56,140.65,256.76,1.83,0.97,Sorace Mendoza
2026-05-07,Remarketing Visitas Web,Instagram,Carousel,4873,140,2.89,7,5.6,193.2,585.5,3.03,1.38,Sorace Mendoza
2026-05-08,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,4758,165,3.49,11,7.01,308.55,419.97,1.36,1.87,Sorace Mendoza
2026-05-08,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,3772,201,5.35,14,7.35,62.31,1233.97,19.8,0.31,Sorace Mendoza
2026-05-08,Carrusel Testimonios - Instagram,Instagram,Carousel,1247,39,3.14,2,6.57,81.51,209.39,2.57,2.09,Sorace Mendoza
2026-05-08,Lead Gen Consulta - Meta,Facebook,Lead Form,11419,583,5.11,6,1.03,1055.23,103.48,0.1,1.81,Sorace Mendoza
2026-05-08,Remarketing Visitas Web,Instagram,Carousel,10896,254,2.34,14,5.62,835.66,744.14,0.89,3.29,Sorace Mendoza
2026-05-09,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,11778,519,4.41,27,5.27,368.49,792.18,2.15,0.71,Sorace Mendoza
2026-05-09,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,8890,362,4.08,8,2.38,351.14,589.31,1.68,0.97,Sorace Mendoza
2026-05-09,Carrusel Testimonios - Instagram,Instagram,Carousel,9881,460,4.66,12,2.8,1508.8,783.65,0.52,3.28,Sorace Mendoza
2026-05-09,Lead Gen Consulta - Meta,Facebook,Lead Form,9279,469,5.06,25,5.37,1425.76,1566.93,1.1,3.04,Sorace Mendoza
2026-05-09,Remarketing Visitas Web,Instagram,Carousel,4064,121,2.98,3,3.26,65.34,178.45,2.73,0.54,Sorace Mendoza
2026-05-10,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,2253,94,4.2,6,7.27,325.24,308.29,0.95,3.46,Sorace Mendoza
2026-05-10,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,10013,106,1.07,4,4.03,146.28,399.31,2.73,1.38,Sorace Mendoza
2026-05-10,Carrusel Testimonios - Instagram,Instagram,Carousel,1042,52,5.04,1,2.82,111.28,87.19,0.78,2.14,Sorace Mendoza
2026-05-10,Lead Gen Consulta - Meta,Facebook,Lead Form,6510,323,4.98,23,7.22,277.78,444.52,1.6,0.86,Sorace Mendoza
2026-05-10,Remarketing Visitas Web,Instagram,Carousel,10031,430,4.3,25,6.0,1070.7,686.21,0.64,2.49,Sorace Mendoza
2026-05-11,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,9149,482,5.28,19,3.99,1195.36,2192.89,1.83,2.48,Sorace Mendoza
2026-05-11,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,8467,324,3.83,22,6.86,268.92,2246.54,8.35,0.83,Sorace Mendoza
2026-05-11,Carrusel Testimonios - Instagram,Instagram,Carousel,3529,91,2.6,1,1.22,218.4,47.4,0.22,2.4,Sorace Mendoza
2026-05-11,Lead Gen Consulta - Meta,Facebook,Lead Form,1488,39,2.64,1,3.92,77.22,41.49,0.54,1.98,Sorace Mendoza
2026-05-11,Remarketing Visitas Web,Instagram,Carousel,10974,316,2.89,4,1.48,650.96,176.23,0.27,2.06,Sorace Mendoza
2026-05-12,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,10639,555,5.22,29,5.38,1748.25,1752.99,1.0,3.15,Sorace Mendoza
2026-05-12,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,3497,77,2.22,3,3.95,120.89,255.55,2.11,1.57,Sorace Mendoza
2026-05-12,Carrusel Testimonios - Instagram,Instagram,Carousel,2456,79,3.23,3,4.68,63.99,233.94,3.66,0.81,Sorace Mendoza
2026-05-12,Lead Gen Consulta - Meta,Facebook,Lead Form,7834,215,2.75,4,2.29,215.0,185.75,0.86,1.0,Sorace Mendoza
2026-05-12,Remarketing Visitas Web,Instagram,Carousel,9376,345,3.68,10,2.95,1176.45,1117.9,0.95,3.41,Sorace Mendoza
2026-05-13,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,4110,89,2.17,5,6.36,165.54,332.1,2.01,1.86,Sorace Mendoza
2026-05-13,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,7912,368,4.66,20,5.49,401.12,2316.36,5.77,1.09,Sorace Mendoza
2026-05-13,Carrusel Testimonios - Instagram,Instagram,Carousel,1644,14,0.91,0,5.95,26.46,0.0,0.0,1.89,Sorace Mendoza
2026-05-13,Lead Gen Consulta - Meta,Facebook,Lead Form,7749,97,1.26,3,3.21,69.84,235.63,3.37,0.72,Sorace Mendoza
2026-05-13,Remarketing Visitas Web,Instagram,Carousel,2087,78,3.77,4,5.67,186.42,90.22,0.48,2.39,Sorace Mendoza
2026-05-14,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,3986,53,1.34,3,7.03,118.72,142.15,1.2,2.24,Sorace Mendoza
2026-05-14,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,3167,66,2.09,3,5.65,211.86,116.46,0.55,3.21,Sorace Mendoza
2026-05-14,Carrusel Testimonios - Instagram,Instagram,Carousel,9822,350,3.57,6,1.78,591.5,183.19,0.31,1.69,Sorace Mendoza
2026-05-14,Lead Gen Consulta - Meta,Facebook,Lead Form,6087,278,4.57,7,2.54,341.94,820.51,2.4,1.23,Sorace Mendoza
2026-05-14,Remarketing Visitas Web,Instagram,Carousel,6138,306,5.0,19,6.53,140.76,2055.8,14.61,0.46,Sorace Mendoza
2026-05-15,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,1575,35,2.27,1,3.27,27.65,69.78,2.52,0.79,Sorace Mendoza
2026-05-15,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,4537,95,2.11,3,3.96,219.45,304.8,1.39,2.31,Sorace Mendoza
2026-05-15,Carrusel Testimonios - Instagram,Instagram,Carousel,9019,412,4.57,32,7.87,1194.8,618.07,0.52,2.9,Sorace Mendoza
2026-05-15,Lead Gen Consulta - Meta,Facebook,Lead Form,5263,47,0.91,1,4.07,70.03,79.27,1.13,1.49,Sorace Mendoza
2026-05-15,Remarketing Visitas Web,Instagram,Carousel,5356,257,4.81,8,3.35,531.99,729.91,1.37,2.07,Sorace Mendoza
2026-05-16,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,10483,241,2.3,15,6.42,682.03,536.47,0.79,2.83,Sorace Mendoza
2026-05-16,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,9398,449,4.78,25,5.6,588.19,2095.47,3.56,1.31,Sorace Mendoza
2026-05-16,Carrusel Testimonios - Instagram,Instagram,Carousel,4735,110,2.33,7,7.09,91.3,105.18,1.15,0.83,Sorace Mendoza
2026-05-16,Lead Gen Consulta - Meta,Facebook,Lead Form,1340,64,4.78,4,6.88,131.2,212.49,1.62,2.05,Sorace Mendoza
2026-05-16,Remarketing Visitas Web,Instagram,Carousel,5268,133,2.53,8,6.26,331.17,856.99,2.59,2.49,Sorace Mendoza
2026-05-17,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,10730,382,3.56,6,1.68,993.2,196.66,0.2,2.6,Sorace Mendoza
2026-05-17,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,6329,287,4.54,15,5.32,177.94,1520.59,8.55,0.62,Sorace Mendoza
2026-05-17,Carrusel Testimonios - Instagram,Instagram,Carousel,2727,99,3.66,7,7.35,225.72,453.75,2.01,2.28,Sorace Mendoza
2026-05-17,Lead Gen Consulta - Meta,Facebook,Lead Form,7512,285,3.81,13,4.88,686.85,1245.61,1.81,2.41,Sorace Mendoza
2026-05-17,Remarketing Visitas Web,Instagram,Carousel,3106,71,2.31,2,3.56,144.13,50.12,0.35,2.03,Sorace Mendoza
2026-05-18,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,11681,245,2.11,14,6.1,247.45,568.34,2.3,1.01,Sorace Mendoza
2026-05-18,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,2287,113,4.94,6,5.94,318.66,109.03,0.34,2.82,Sorace Mendoza
2026-05-18,Carrusel Testimonios - Instagram,Instagram,Carousel,6200,240,3.88,8,3.45,415.2,555.64,1.34,1.73,Sorace Mendoza
2026-05-18,Lead Gen Consulta - Meta,Facebook,Lead Form,9179,102,1.11,1,1.06,51.0,16.87,0.33,0.5,Sorace Mendoza
2026-05-18,Remarketing Visitas Web,Instagram,Carousel,8481,453,5.35,30,6.7,987.54,3018.82,3.06,2.18,Sorace Mendoza
